2020-02-12 03:09:17,"b""RT @damart_uk: It's Friday Freebie time!\nYou can win this underwired bra with everyday comfort. Which color do you prefer?\n\nRetweet and tel\xe2\x80\xa6"""
2020-02-12 03:08:40,b'RT @PeteButtigieg: Senator @MichaelBennet is not afraid to speak truth to power. At a time when Americans are questioning whether they can\xe2\x80\xa6'
2020-02-12 03:07:58,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:07:49,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:07:03,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:05:21,b'@SiobianS @TCS_SDC Cheers Siobian - look forward to seeing you in June.'
2020-02-12 03:04:14,"b'RT @S1S1B1: @4US_Workers @Troup1998 \n\nThis is just one floor of Walmart out 3 floors where 1000 and 1000 opt(bentonville, AR)students(mostl\xe2\x80\xa6'"
2020-02-12 03:03:35,b'@oddinsights_tcs He\xe2\x80\x99d be a great VP'
2020-02-12 03:02:02,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:01:53,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:01:45,b'Lol. Which is why I just giggle when the Bros tell me \xe2\x80\x9cPete?!! Are you kidding me man? Bernie has way more supporte\xe2\x80\xa6 https://t.co/3nGd5xpS5X'
2020-02-12 03:00:27,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
2020-02-12 03:00:21,"b""RT @radiodisney: Here's Tuesday's #RDTop3!\n1. @jonasbrothers - #WhatAManGottaDo\n2. @ArianaGrande - #NASA\n3. TCS &amp; @KygoMusic - #Family http\xe2\x80\xa6"""
